Comment,Designator,Footprint,LCSC
"100nF","C1,C2,C3,C4,C5,C6,C7,C8,C18","Capacitor_SMD:C_0402_1005Metric",""
"10uF","C16","Capacitor_SMD:C_1206_3216Metric",""
"2.7nF","C17","Capacitor_SMD:C_0402_1005Metric",""
"100pF","C19","Capacitor_SMD:C_0402_1005Metric",""
"22uF","C20,C21,C22,C23","Capacitor_SMD:C_0805_2012Metric",""
"15pF","C25","Capacitor_SMD:C_0402_1005Metric",""
"Riser_Edge_to_MB","J1","WYSE_5070_Riser:BUS_PCIexpress_x4_Short",""
"Riser_Receptable_to_Card","J2","WYSE_5070_Riser:PCIEx4_SMD_Narrow",""
"10uH","L2","Inductor_SMD:L_Bourns_SRP1038C_10.0x10.0mm",""
"100k","R1","Resistor_SMD:R_0402_1005Metric",""
"37.4k","R2","Resistor_SMD:R_0402_1005Metric",""
"309k","R3","Resistor_SMD:R_0402_1005Metric",""
"22.1k","R4","Resistor_SMD:R_0402_1005Metric",""
"AP64500SP-13","U2","WYSE_5070_Riser:SO-8EP_DIO",""